date,stock_code,buy_count,sell_count,is_top_recommended,is_top_not_recommended,recommended_view_sum,not_recommended_view_sum,return_5d
2026-04-09,3131,1,1,0,0,0,0,
2026-04-09,3163,0,2,0,1,0,65556,
2026-04-09,3167,1,0,0,0,0,0,
2026-04-09,3189,1,3,0,1,0,109426,
2026-04-09,3231,2,1,0,0,96570,70192,
2026-04-09,3260,1,1,0,0,0,27792,
2026-04-09,3363,0,1,0,0,0,0,
2026-04-09,3376,1,0,0,0,0,0,
2026-04-09,3455,1,0,0,0,0,0,
2026-04-09,3481,1,0,0,0,0,0,
2026-04-09,3491,1,0,0,0,0,0,
2026-04-09,3535,1,0,0,0,0,0,
2026-04-09,3545,1,0,0,0,0,0,
2026-04-09,3580,1,0,0,0,0,0,
2026-04-09,3583,0,1,0,0,0,0,
2026-04-09,3653,1,0,0,0,0,0,
2026-04-09,3661,1,0,0,0,0,0,
2026-04-09,3663,1,0,0,0,0,0,
2026-04-09,3673,1,0,0,0,0,0,
2026-04-09,3693,1,0,0,0,0,0,
2026-04-09,3711,1,0,0,0,0,0,
2026-04-09,4958,2,0,0,0,0,0,
2026-04-09,4961,1,0,0,0,0,0,
2026-04-09,4967,0,1,0,0,0,27792,
2026-04-09,5289,1,0,0,0,0,0,
2026-04-09,5347,2,0,0,0,0,0,
2026-04-09,6147,0,1,0,0,0,0,
2026-04-09,6187,1,1,0,0,0,0,
2026-04-09,6213,1,0,0,0,0,0,
2026-04-09,6217,1,0,0,0,0,0,
2026-04-09,6223,1,0,0,0,0,0,
2026-04-09,6239,1,0,0,0,0,0,
2026-04-09,6274,2,0,0,0,0,0,
2026-04-09,6285,1,0,0,0,0,0,
2026-04-09,6415,1,0,0,0,0,0,
2026-04-09,6438,1,0,0,0,0,0,
2026-04-09,6515,1,1,0,0,0,0,
2026-04-09,6640,1,0,0,0,0,0,
2026-04-09,6669,1,0,0,0,0,0,
2026-04-09,6770,1,1,0,0,0,0,
2026-04-09,8016,1,0,0,0,0,0,
2026-04-09,8046,1,1,0,0,0,0,
2026-04-09,8064,2,0,0,0,0,0,
2026-04-09,8299,1,0,0,0,0,0,
2026-04-09,8358,1,0,0,0,0,0,
2026-04-09,8996,1,0,0,0,0,0,
2026-04-10,0050,1,0,0,0,0,0,
2026-04-10,0056,0,1,0,1,0,0,
2026-04-10,00878,0,1,0,1,0,0,
2026-04-10,1303,1,0,0,0,0,0,
2026-04-10,1717,1,0,0,0,0,0,
2026-04-10,1721,1,0,0,0,0,0,
2026-04-10,1727,1,0,0,0,0,0,
2026-04-10,1785,1,0,0,0,0,0,
2026-04-10,1802,1,0,0,0,0,0,
2026-04-10,2303,1,0,0,0,0,0,
2026-04-10,2308,2,0,1,0,0,0,
2026-04-10,2317,4,1,1,1,146227,0,
2026-04-10,2330,4,0,1,0,131804,0,
2026-04-10,2337,1,4,0,1,0,187063,
2026-04-10,2344,1,3,0,1,0,160660,
2026-04-10,2360,1,0,0,0,0,0,
2026-04-10,2368,1,0,0,0,0,0,
2026-04-10,2371,1,0,0,0,0,0,
2026-04-10,2382,3,0,1,0,152765,0,
2026-04-10,2383,2,1,1,0,0,83545,
2026-04-10,2408,1,4,0,1,0,187063,
2026-04-10,2409,2,0,1,0,106200,0,
2026-04-10,2426,1,0,0,0,0,0,
2026-04-10,2451,0,1,0,0,0,0,
2026-04-10,2454,2,0,1,0,99362,0,
2026-04-10,2467,1,0,0,0,0,0,
2026-04-10,2486,1,0,0,0,0,0,
2026-04-10,3006,0,2,0,1,0,133089,
2026-04-10,3017,2,0,1,0,0,0,
2026-04-10,3037,1,1,0,0,0,0,
2026-04-10,3131,1,1,0,0,0,83545,
2026-04-10,3163,1,1,0,0,0,0,
2026-04-10,3167,1,0,0,0,0,0,
2026-04-10,3189,1,0,0,0,0,0,
2026-04-10,3231,1,0,0,0,0,0,
2026-04-10,3260,0,2,0,1,0,140984,
2026-04-10,3363,0,1,0,0,0,0,
2026-04-10,3376,1,0,0,0,0,0,
2026-04-10,3455,1,0,0,0,0,0,
2026-04-10,3481,2,0,1,0,114095,0,
2026-04-10,3563,1,0,0,0,0,0,
2026-04-10,3580,1,0,0,0,0,0,
2026-04-10,3583,1,1,0,0,0,0,
2026-04-10,3653,1,0,0,0,0,0,
2026-04-10,3663,1,0,0,0,0,0,
2026-04-10,3665,1,0,0,0,0,0,
2026-04-10,3673,1,0,0,0,0,0,
2026-04-10,3714,1,0,0,0,0,0,
2026-04-10,4526,1,0,0,0,0,0,
2026-04-10,4576,1,0,0,0,0,0,
2026-04-10,4958,2,0,1,0,114095,0,
2026-04-10,5243,1,0,0,0,0,0,
2026-04-10,5289,1,0,0,0,0,0,
2026-04-10,5347,1,0,0,0,0,0,
2026-04-10,5443,2,0,0,0,95326,0,
2026-04-10,6104,1,0,0,0,0,0,
2026-04-10,6116,1,0,0,0,0,0,
2026-04-10,6187,0,1,0,0,0,83545,
2026-04-10,6189,0,1,0,0,0,0,
2026-04-10,6213,2,1,0,0,0,0,
2026-04-10,6223,1,1,0,0,0,0,
2026-04-10,6274,2,1,0,0,0,0,
2026-04-10,6415,1,0,0,0,0,0,
2026-04-10,6438,1,0,0,0,0,0,
2026-04-10,6510,1,0,0,0,0,0,
2026-04-10,6515,1,0,0,0,0,0,
2026-04-10,6640,2,0,0,0,95326,0,
2026-04-10,6669,1,0,0,0,0,0,
2026-04-10,6770,0,3,0,1,0,160660,
2026-04-10,6805,1,0,0,0,0,0,
2026-04-10,8028,1,0,0,0,0,0,
2026-04-10,8046,0,1,0,0,0,0,
2026-04-10,8064,2,0,0,0,95326,0,
2026-04-10,8299,0,2,0,1,0,95326,
2026-04-10,8996,2,0,0,0,0,0,
2026-04-13,1597,1,0,1,0,0,0,
2026-04-13,1711,1,0,1,0,0,0,
2026-04-13,1785,1,0,1,0,29311,0,
2026-04-13,1815,1,0,1,0,29311,0,
2026-04-13,2049,1,0,1,0,0,0,
2026-04-13,2317,2,1,1,1,16284,16328,
2026-04-13,2337,0,1,0,1,0,12693,
2026-04-13,2344,0,2,0,1,0,29021,
2026-04-13,2382,1,1,0,1,0,16328,
2026-04-13,2408,0,2,0,1,0,29021,
2026-04-13,2409,1,0,0,0,0,0,
2026-04-13,2426,1,0,0,0,0,0,
2026-04-13,2454,1,0,0,0,0,0,
2026-04-13,2467,1,0,0,0,0,0,
2026-04-13,2489,1,0,0,0,0,0,
